case_id,method,status,renders_without_task_specific_edits,grouping_success,compositional_fidelity,explicit_traceability,unsupported_content_count,per_case_success,explicit_claims
C01_existing_gait_domain,generic_template,complete,True,False,1.0,True,0,False,[]
C01_existing_gait_domain,domain_template,complete,True,False,1.0,True,0,False,[]
C01_existing_gait_domain,map_free_gemini,complete,True,False,1.0,True,0,False,[]
C02_existing_balance_domain,generic_template,complete,True,False,1.0,True,0,False,[]
C02_existing_balance_domain,domain_template,complete,True,False,1.0,True,0,False,[]
C02_existing_balance_domain,map_free_gemini,complete,True,False,1.0,True,0,False,[]
C03_existing_autonomic_domain,generic_template,complete,True,False,1.0,True,0,False,[]
C03_existing_autonomic_domain,domain_template,complete,True,False,1.0,True,0,False,[]
C03_existing_autonomic_domain,map_free_gemini,complete,True,False,1.0,True,0,False,[]
C04_new_fall_concern_domain,generic_template,complete,True,False,1.0,True,0,False,[]
C04_new_fall_concern_domain,domain_template,complete,True,False,1.0,True,0,False,[]
C04_new_fall_concern_domain,map_free_gemini,complete,True,False,1.0,True,0,False,[]
C05_novel_cross_domain_combination,generic_template,complete,True,True,1.0,True,0,True,[]
C05_novel_cross_domain_combination,domain_template,complete,True,True,1.0,True,0,True,[]
C05_novel_cross_domain_combination,map_free_gemini,complete,True,True,1.0,True,0,True,[]
C06_one_sided_unseen,generic_template,complete,True,False,1.0,True,0,False,[]
C06_one_sided_unseen,domain_template,complete,True,False,1.0,True,0,False,[]
C06_one_sided_unseen,map_free_gemini,complete,True,False,1.0,True,0,False,[]
