case_id,method,map_edits,label_edits,corrections,prompt_edits,code_edits,parser_edits,regenerations,prospective_minutes
C01_existing_gait_domain,generic_template,0,0,0,0,0,0,0,not_yet_timed
C01_existing_gait_domain,domain_template,1,0,0,0,0,0,0,not_yet_timed
C01_existing_gait_domain,map_free_gemini,0,0,pending_generation,0,0,0,0,not_yet_timed
C02_existing_balance_domain,generic_template,0,0,0,0,0,0,0,not_yet_timed
C02_existing_balance_domain,domain_template,1,0,0,0,0,0,0,not_yet_timed
C02_existing_balance_domain,map_free_gemini,0,0,pending_generation,0,0,0,0,not_yet_timed
C03_existing_autonomic_domain,generic_template,0,0,0,0,0,0,0,not_yet_timed
C03_existing_autonomic_domain,domain_template,1,0,0,0,0,0,0,not_yet_timed
C03_existing_autonomic_domain,map_free_gemini,0,0,pending_generation,0,0,0,0,not_yet_timed
C04_new_fall_concern_domain,generic_template,0,0,0,0,0,0,0,not_yet_timed
C04_new_fall_concern_domain,domain_template,2,1,0,0,0,0,0,not_yet_timed
C04_new_fall_concern_domain,map_free_gemini,0,0,pending_generation,0,0,0,0,not_yet_timed
C05_novel_cross_domain_combination,generic_template,0,0,0,0,0,0,0,not_yet_timed
C05_novel_cross_domain_combination,domain_template,0,0,0,0,0,0,0,not_yet_timed
C05_novel_cross_domain_combination,map_free_gemini,0,0,pending_generation,0,0,0,0,not_yet_timed
C06_one_sided_unseen,generic_template,0,0,0,0,0,0,0,not_yet_timed
C06_one_sided_unseen,domain_template,1,0,0,0,0,0,0,not_yet_timed
C06_one_sided_unseen,map_free_gemini,0,0,pending_generation,0,0,0,0,not_yet_timed
